3,TRUE,TRUE,TRUE
1100;1001;0110;0011,4689,4653,1555,
1010;1001;0110;0101,4641,4673,1604,
0101;0011;0110;0000,4825,4828,1259,
1111;0000;1100;0011,4698,4721,0,
0011;0101;1111;1001,4747,4781,1198,
0000;1010;1111;0101,4625,4612,0,
0110;1010;1111;0011,4761,4617,1233,

11,TRUE,TRUE,FALSE
1111;1001;0000;0110,4674,4658,0,
0101;1100;1001;0000,4654,4630,1137,
0011;0000;1010;1001,4689,4639,1178,
1100;1010;1111;1001,4769,4783,1211,
0101;1010;0011;1100,4560,4489,1437,
0110;0000;1010;1100,4590,4757,1172,
0110;1111;0101;1100,4685,4646,1142,
1100;0011;0110;1001,4634,4567,1561,
0110;1001;1010;0101,4609,4747,1620,
1100;0011;0000;1111,4845,4560,0,
0011;0101;0110;0000,4797,4704,1201,
1111;0011;1001;0101,4716,4801,1177,
0101;1111;0000;1010,4674,4750,0,
1111;0110;1010;0011,4740,4680,1151,

3,TRUE,FALSE,TRUE
0110;1100;1001;0011,7255,7255,7255,
1001;0101;0000;1100,6976,6976,6976,
0110;1001;1010;0101,7112,7112,7112,
0000;0101;0011;0110,7220,7220,7220,
1001;0101;0011;1111,7223,7223,7223,
0011;0000;1010;1001,7048,7048,7048,
1111;1010;1100;1001,7225,7225,7225,
1010;0011;1100;0101,6979,6979,6979,
1100;1010;0110;0000,7190,7190,7190,
1100;1111;0101;0110,7321,7321,7321,
1010;0011;1111;0110,7120,7120,7120,

4,TRUE,FALSE,TRUE
0011;0110;1100;1001,5654,5654,5654,
1001;0101;0000;1100,8392,8392,8392,
1010;0101;1001;0110,5790,5790,5790,
0000;0110;0101;0011,8619,8619,8619,
0011;0101;1001;1111,5818,5818,5818,
0011;0000;1010;1001,8678,8678,8678,
1111;1001;1010;1100,5684,5684,5684,
0011;0101;1010;1100,5766,5766,5766,
1010;0110;1100;0000,8546,8546,8546,
0110;1111;1100;0101,5814,5814,5814,
0011;0110;1111;1010,5836,5836,5836,

5,TRUE,FALSE,TRUE
0011;0110;1100;1001,6353,6353,6353,
1100;1001;0000;0101,6695,6695,6695,
0110;1001;1010;0101,6450,6450,6450,
0000;0110;0101;0011,6435,6435,6435,
1001;0011;0101;1111,6424,6424,6424,
1010;0000;1001;0011,6369,6369,6369,
1111;1100;1001;1010,6437,6437,6437,
0011;0101;1010;1100,6441,6441,6441,
1010;0110;1100;0000,6425,6425,6425,
0101;1111;0110;1100,6353,6353,6353,
0011;0110;1111;1010,6443,6443,6443,

6,TRUE,FALSE,TRUE
0011;0110;1100;1001,6027,6027,6027,
0101;1100;0000;1001,6697,6697,6697,
1010;0101;1001;0110,6134,6134,6134,
0000;0011;0110;0101,6685,6685,6685,
1001;0011;0101;1111,6110,6110,6110,
0011;0000;1010;1001,6829,6829,6829,
1111;1100;1010;1001,6180,6180,6180,
0011;0101;1010;1100,6094,6094,6094,
0110;1111;1100;0101,6166,6166,6166,
1010;0110;1100;0000,6763,6763,6763,
1010;0110;1111;0011,6299,6299,6299,

7,TRUE,FALSE,TRUE
1001;0011;0110;1100,6345,6345,6345,
0101;1001;0000;1100,6395,6395,6395,
0110;1001;1010;0101,6370,6370,6370,
0000;0011;0110;0101,6230,6230,6230,
0011;0101;1001;1111,6333,6333,6333,
0011;0000;1010;1001,6301,6301,6301,
1111;1100;1001;1010,6267,6267,6267,
0011;0101;1010;1100,6270,6270,6270,
1100;1010;0110;0000,6294,6294,6294,
1100;1111;0110;0101,6204,6204,6204,
0110;1010;1111;0011,6338,6338,6338,

8,TRUE,FALSE,TRUE
1001;0011;0110;1100,6274,6274,6274,
0101;1100;0000;1001,6320,6320,6320,
1001;0110;0101;1010,6236,6236,6236,
0000;0011;0110;0101,6407,6407,6407,
0011;0101;1001;1111,6146,6146,6146,
0011;0000;1001;1010,6476,6476,6476,
1111;1010;1100;1001,6173,6173,6173,
1010;0011;1100;0101,6234,6234,6234,
1100;1010;0110;0000,6371,6371,6371,
1100;1111;0110;0101,6218,6218,6218,
0110;1010;1111;0011,6290,6290,6290,

9,TRUE,FALSE,TRUE
0011;0110;1100;1001,6217,6217,6217,
0101;1001;0000;1100,6304,6304,6304,
0101;1010;0110;1001,6312,6312,6312,
0000;0101;0011;0110,6261,6261,6261,
1001;0101;0011;1111,6219,6219,6219,
1111;1100;1001;1010,6223,6223,6223,
1010;0000;1001;0011,6250,6250,6250,
1010;0011;1100;0101,6165,6165,6165,
1010;0110;1100;0000,6291,6291,6291,
0110;1111;1100;0101,6182,6182,6182,
0011;0110;1111;1010,6267,6267,6267,

10,TRUE,FALSE,TRUE
