3,TRUE,TRUE,TRUE
0011;0100;1110;1001,578,0,0,
0101;0001;1010;1110,571,0,0,
0111;1010;0011;1110,549,0,0,
1001;0101;0001;1101,573,0,0,
0110;1111;0111;1110,563,0,0,
0001;1010;1100;0111,612,0,0,

11,TRUE,FALSE,FALSE
1101;1000;0010;0111,627,0,0,
0001;1001;1011;0011,587,0,0,
1101;0010;0000;1111,576,0,0,
1101;0011;0010;1100,589,0,0,
1101;0010;0110;1001,583,0,0,
1100;1000;0100;0000,578,0,0,
0111;0100;1100;1111,591,0,0,
1101;1100;1010;1011,554,0,0,
1010;0010;0100;1100,577,0,0,
0101;1110;1001;0010,583,0,0,
1001;1101;1011;1111,587,0,0,
1100;0001;0011;1110,594,0,0,
0101;1001;0110;1010,562,619,181,
0101;0110;0011;0000,586,615,144,
0010;0110;1100;1000,604,0,0,
0010;1011;1111;0110,578,0,0,
1110;1000;1001;1111,555,0,0,
1001;0110;1111;0000,562,574,0,
1110;1000;1011;1101,585,0,0,
0011;0010;0110;0111,578,0,0,
1001;0000;1010;0011,600,598,152,
0000;1001;0100;1101,587,0,0,
0100;0001;1110;1011,571,0,0,
0010;0101;1011;1100,570,0,0,
1100;0111;0000;1011,574,0,0,
1001;1000;0011;0010,597,0,0,
0110;0111;1010;1011,590,0,0,
1010;1001;1101;1110,549,0,0,
0110;0001;1011;1100,614,0,0,
0000;0100;1010;1110,576,0,0,
1111;0100;0010;1001,593,0,0,
1001;1111;0111;0001,546,0,0,
1100;0111;1001;0010,571,0,0,
0001;0111;1101;1011,603,0,0,
0100;0010;0111;0001,586,0,0,
0100;0010;1110;1000,616,0,0,
1110;1000;0011;0101,613,0,0,
0111;0101;1001;1011,601,0,0,
0001;0111;0101;0011,621,0,0,
0001;0100;1100;1001,564,0,0,
1110;0000;1100;0010,581,0,0,
1110;1100;0101;0111,589,0,0,
1000;1101;1111;1010,573,0,0,
0011;1011;1100;0100,563,0,0,
1011;0000;1101;0110,571,0,0,
0100;0000;0110;0010,572,0,0,
1100;0001;1101;0000,559,0,0,
1110;0111;0000;1001,573,0,0,
0010;1111;0001;1100,570,0,0,
0111;0010;1011;1110,591,0,0,
0110;0001;0011;0100,580,0,0,
1001;0101;1111;0011,629,592,163,
0100;0001;0000;0101,598,0,0,
1011;1110;0011;0110,574,0,0,
1000;1100;1101;1001,597,0,0,
0110;1101;0111;1100,570,0,0,
0001;0000;1111;1110,542,0,0,
0010;1110;1101;0001,592,0,0,
0100;0111;0110;0101,589,0,0,
0100;0111;0000;0011,571,0,0,
1110;0101;0100;1111,571,0,0,
1000;1001;1011;1010,555,0,0,
0000;1101;1000;0101,603,0,0,
1010;0101;1101;0010,594,0,0,
1000;1010;0011;0001,604,0,0,
0100;1101;1000;0001,599,0,0,
0101;0010;1000;1111,636,0,0,
1011;0000;0100;1111,609,0,0,
0011;1110;1101;0000,599,0,0,
0001;1001;0110;1110,574,0,0,
1011;0011;0000;1000,583,0,0,
0101;0010;0011;0100,605,0,0,
1010;0110;0001;1101,559,0,0,
0101;1011;1101;0011,590,0,0,
1111;1110;0010;0011,552,0,0,
0110;0111;1001;1000,601,0,0,
1110;0110;0000;1000,550,0,0,
1100;1101;1110;1111,591,0,0,
0001;0000;0110;0111,602,0,0,
0100;1001;1000;0101,583,0,0,
1110;0100;1100;0110,613,0,0,
1000;1100;1111;1011,564,0,0,
1011;0000;0101;1110,573,0,0,
1001;0000;1000;0001,617,0,0,
0101;0110;1000;1011,644,0,0,
0000;0010;0101;0111,609,0,0,
1111;1000;0100;0011,604,0,0,
1000;1100;0001;0101,553,0,0,
1001;0010;1010;0001,532,0,0,
0110;1001;1100;0011,633,568,204,
1110;1000;0001;0111,557,0,0,
0010;1010;0111;1111,613,0,0,
1010;0100;0101;1011,587,0,0,
0110;0101;1110;1101,618,0,0,
0110;1101;0011;1000,570,0,0,
0110;1101;0100;1111,566,0,0,
1011;1111;0101;0001,576,0,0,
0011;1010;1111;0110,534,575,134,
0100;1011;1000;0111,576,0,0,
1001;1100;0101;0000,611,624,153,
0010;0110;1010;1110,624,0,0,
1001;1110;1100;1011,597,0,0,
0110;1011;0100;1001,576,0,0,
1111;1010;0100;0001,542,0,0,
0101;1010;1100;0011,589,597,206,
1010;0000;0110;1100,598,558,142,
0111;0011;1111;1011,626,0,0,
0101;1100;1101;0100,565,0,0,
0100;0010;1011;1101,595,0,0,
0011;1010;1011;0010,589,0,0,
1010;1000;0100;0110,560,0,0,
0001;0000;0010;0011,569,0,0,
1111;0011;0000;1100,591,562,0,
0001;1111;1000;0110,562,0,0,
1001;0111;1101;0011,597,0,0,
0010;1000;0000;1010,593,0,0,
1011;1000;0010;0001,585,0,0,
0000;0111;1101;1010,553,0,0,
0101;0000;1111;1010,558,568,0,
0000;1010;1011;0001,568,0,0,
0111;0101;1101;1111,540,0,0,
0111;1000;1100;0011,629,0,0,
0010;1001;0000;1011,599,0,0,
1001;1100;1010;1111,555,564,144,
1110;1100;1000;1010,656,0,0,
1000;0111;1010;0101,587,0,0,
1100;0110;1111;0101,608,595,155,
0100;0011;1010;1101,562,0,0,
1001;0111;0100;1010,581,0,0,
1111;1110;1011;1010,558,0,0,
1000;0111;1111;0000,572,0,0,
1110;0100;1101;0111,621,0,0,
0011;0001;1111;1101,580,0,0,
0010;0110;0001;0101,594,0,0,
1110;0011;1001;0100,592,0,0,
0101;0001;1010;1110,628,0,0,
1010;0011;1110;0111,588,0,0,
1101;0001;0101;1001,606,0,0,
0111;1111;1110;0110,588,0,0,
1010;0001;1100;0111,581,0,0,

3,FALSE,TRUE,TRUE

4,FALSE,TRUE,TRUE
0101;1100;0000;1001,811,811,811,
0000;0101;0011;0110,859,859,859,
0011;0000;1010;1001,792,792,792,
1100;1010;0110;0000,776,776,776,

5,FALSE,TRUE,TRUE
0011;0110;1100;1001,330,330,330,
1001;0101;0000;1100,365,365,365,
1001;0110;0101;1010,349,349,349,
0000;0110;0101;0011,340,340,340,
1001;0011;0101;1111,335,335,335,
1111;1100;1001;1010,347,347,347,
1001;0000;0011;1010,336,336,336,
1100;1010;0101;0011,328,328,328,
0110;1010;1100;0000,369,369,369,
1100;1111;0110;0101,350,350,350,
0110;1010;1111;0011,333,333,333,

6,FALSE,TRUE,TRUE
0011;0110;1100;1001,303,303,303,
0101;1001;0000;1100,524,524,524,
1001;0110;0101;1010,280,280,280,
0000;0110;0101;0011,519,519,519,
1001;0101;0011;1111,310,310,310,
1111;1001;1010;1100,301,301,301,
1010;0000;1001;0011,480,480,480,
0101;1100;0011;1010,304,304,304,
0110;1010;1100;0000,490,490,490,
1100;1111;0110;0101,306,306,306,
0011;0110;1111;1010,327,327,327,

7,FALSE,TRUE,TRUE
0011;0110;1100;1001,412,412,412,
1001;0101;0000;1100,387,387,387,
0101;1010;0110;1001,381,381,381,
0000;0011;0110;0101,361,361,361,
1001;0011;0101;1111,365,365,365,
1111;1100;1001;1010,377,377,377,
0011;0000;1010;1001,390,390,390,
1010;0011;1100;0101,370,370,370,
1100;1010;0110;0000,364,364,364,
0110;1111;1100;0101,353,353,353,
0110;1010;1111;0011,362,362,362,

8,FALSE,TRUE,TRUE
1100;1001;0011;0110,342,342,342,
1100;1001;0000;0101,435,435,435,
1001;0110;0101;1010,393,393,393,
0000;0101;0011;0110,425,425,425,
1001;0011;0101;1111,365,365,365,
1001;0000;0011;1010,393,393,393,
1111;1100;1010;1001,389,389,389,
0101;1100;0011;1010,392,392,392,
1100;1111;0101;0110,357,357,357,
0110;1100;1010;0000,447,447,447,
0110;1010;1111;0011,412,412,412,

9,FALSE,TRUE,TRUE
0011;0110;1100;1001,413,413,413,
0101;1100;0000;1001,357,357,357,
0110;1001;1010;0101,423,423,423,
0000;0011;0110;0101,385,385,385,
0011;0101;1001;1111,367,367,367,
1111;1100;1010;1001,402,402,402,
1010;0000;1001;0011,399,399,399,
1010;0011;1100;0101,391,391,391,
0110;1100;1010;0000,405,405,405,
0110;1111;1100;0101,379,379,379,
0011;0110;1111;1010,401,401,401,

10,FALSE,TRUE,TRUE
0110;1100;1001;0011,390,390,390,
0101;1100;0000;1001,399,399,399,
1001;0110;0101;1010,375,375,375,
0000;0101;0011;0110,404,404,404,
1001;0011;0101;1111,376,376,376,
1001;0000;0011;1010,397,397,397,
1111;1100;1010;1001,369,369,369,
1010;0011;1100;0101,388,388,388,
0110;1010;1100;0000,400,400,400,
0101;1111;0110;1100,380,380,380,
1010;0011;1111;0110,364,364,364,

11,FALSE,TRUE,TRUE
1100;1001;0011;0110,369,369,369,
1001;0101;0000;1100,389,389,389,
1010;0101;1001;0110,387,387,387,
0000;0110;0101;0011,392,392,392,
0011;0101;1001;1111,398,398,398,
1111;1100;1001;1010,407,407,407,
0011;0000;1010;1001,419,419,419,
1100;1010;0101;0011,381,381,381,
1100;1111;0101;0110,369,369,369,
1010;0110;1100;0000,428,428,428,
0011;0110;1111;1010,402,402,402,

3,FALSE,TRUE,FALSE
0000;1001;1100;0101,1774,1765,446,
0011;0000;0101;0110,1650,1714,391,
1010;1001;0011;0000,1783,1783,427,
1100;1010;0110;0000,1774,1719,442,
0011;1011;0001;1001,0,914,0,
0000;1110;0011;1101,0,1773,0,
1011;0011;0000;1000,0,1819,0,
1100;0100;1000;0000,0,1827,0,
0100;0011;0010;0101,0,897,0,
0110;1101;1010;0001,0,904,0,
1010;1101;1100;1011,0,866,0,
0101;1101;1011;0011,0,946,0,
0100;1010;1100;0010,0,864,0,
0111;0000;0001;0110,0,1817,0,
0000;1110;1000;0110,0,1839,0,
1110;0010;0101;1001,0,899,0,
0100;1001;0101;1000,0,867,0,
1100;1110;0110;0100,0,889,0,
1100;0110;0010;1000,0,928,0,
0101;1110;1011;0000,0,1742,0,
1001;1000;0001;0000,0,1841,0,
1110;1011;1101;1000,0,913,0,
0110;0101;1000;1011,0,884,0,
0101;0010;0000;0111,0,1816,0,
0001;1100;1000;0101,0,866,0,
0011;0110;0111;0010,0,901,0,
0100;1001;0000;1101,0,1803,0,
1011;0101;0010;1100,0,874,0,
1001;0001;1010;0010,0,888,0,
1100;0111;0000;1011,0,1755,0,
1001;1000;0010;0011,0,907,0,
1101;1001;1110;1010,0,854,0,
1011;1010;0111;0110,0,836,0,
1110;0100;1010;0000,0,1918,0,
0110;1011;1100;0001,0,904,0,
1101;0101;1110;0110,0,915,0,
0010;1100;1001;0111,0,872,0,
1000;0011;0110;1101,0,882,0,
1101;0001;1011;0111,0,893,0,
0001;0010;0111;0100,0,873,0,
1000;0010;1110;0100,0,896,0,
0011;0101;1000;1110,0,919,0,
0101;1001;0111;1011,0,918,0,
0011;0111;0101;0001,0,888,0,
1110;1010;0110;0010,0,905,0,
1001;1100;0001;0100,0,849,0,
1110;1100;0010;0000,0,1787,0,
1100;0111;1110;0101,0,933,0,
1110;1011;1001;1100,0,882,0,
0100;0010;0110;0000,0,1708,0,
0100;1101;1100;0101,0,931,0,
1101;0000;0110;1011,0,1799,0,
0100;1000;0110;1010,0,911,0,
0011;0010;1010;1011,0,882,0,
0010;0000;0001;0011,0,1753,0,
1001;0000;0111;1110,0,1900,0,
0000;0001;1101;1100,0,1685,0,
0001;0110;0011;0100,0,875,0,
0010;1110;0111;1011,0,913,0,
1001;1101;0111;0011,0,865,0,
0101;0100;0001;0000,0,1807,0,
1000;1010;0010;0000,0,1820,0,
1000;0001;1011;0010,0,880,0,
1011;0011;1110;0110,0,897,0,
0000;0111;1010;1101,0,1734,0,
1001;1000;1100;1101,0,857,0,
1100;0110;1101;0111,0,937,0,
1011;0000;1010;0001,0,1780,0,
0000;1001;1011;0010,0,1771,0,
1100;1010;1000;1110,0,867,0,
0101;0110;0111;0100,0,867,0,
0011;0100;0111;0000,0,1804,0,
1010;0011;0100;1101,0,869,0,
0111;1010;0100;1001,0,846,0,
1000;1010;1011;1001,0,905,0,
0101;1000;1101;0000,0,1768,0,
0001;0101;0110;0010,0,918,0,
0100;0111;1101;1110,0,887,0,
1001;0100;0011;1110,0,906,0,
0111;0011;1110;1010,0,922,0,
1101;0101;0001;1001,0,946,0,
0100;1000;1101;0001,0,870,0,
1010;0011;0001;1000,0,885,0,
0001;0111;1100;1010,0,891,0,

4,FALSE,TRUE,FALSE
1001;1111;0000;0110,343,355,0,
0101;1001;1100;0000,1088,1075,266,
0000;1001;1010;0011,1107,1067,274,
1100;1001;1010;1111,346,373,83,
1100;0011;0101;1010,379,321,116,
1111;1100;0101;0110,389,356,93,
1100;0000;1010;0110,1015,1036,245,
1001;1100;0110;0011,349,372,133,
0101;1001;0110;1010,353,388,131,
0000;0101;0011;0110,1063,1095,265,
0011;1111;1100;0000,369,344,0,
0011;1111;0101;1001,383,374,91,
1111;1010;0101;0000,381,376,0,
0110;1111;0011;1010,381,396,100,
0111;1000;1101;0010,0,332,0,
1011;0011;1001;0001,0,703,0,
1111;0000;0010;1101,0,349,0,
0011;1101;0010;1100,0,357,0,
0000;1100;1000;0100,0,1151,0,
0010;1001;1101;0110,0,350,0,
0111;1100;0100;1111,0,380,0,
1011;1010;1101;1100,0,752,0,
0100;1010;0010;1100,0,700,0,
1011;1101;1001;1111,0,355,0,
0010;1001;1110;0101,0,727,0,
1110;0011;1100;0001,0,365,0,
1100;0110;0010;1000,0,684,0,
0010;1111;1011;0110,0,364,0,
1001;1110;1000;1111,0,344,0,
1011;1000;1110;1101,0,730,0,
0110;0011;0010;0111,0,750,0,
0000;0100;1001;1101,0,1085,0,
0100;0001;1011;1110,0,362,0,
0101;1011;0010;1100,0,702,0,
0111;0000;1011;1100,0,1095,0,
1001;1000;0010;0011,0,738,0,
0111;0110;1010;1011,0,728,0,
1010;1101;1001;1110,0,712,0,
0000;1010;0100;1110,0,997,0,
1100;1011;0110;0001,0,741,0,
1001;0100;0010;1111,0,375,0,
1111;1001;0001;0111,0,330,0,
1001;0010;0111;1100,0,728,0,
0111;1101;0001;1011,0,720,0,
0100;1000;0010;1110,0,753,0,
0100;0111;0010;0001,0,728,0,
1000;0101;0011;1110,0,723,0,
1011;0111;0101;1001,0,704,0,
0011;0101;0001;0111,0,738,0,
1001;0100;0001;1100,0,716,0,
1110;1100;0010;0000,0,1048,0,
0111;0101;1100;1110,0,690,0,
1000;1010;1101;1111,0,383,0,
1100;1011;0100;0011,0,329,0,
1101;0110;0000;1011,0,1065,0,
0100;0000;0110;0010,0,1099,0,
0111;0000;1001;1110,0,1059,0,
1100;1101;0001;0000,0,1075,0,
0001;1111;1100;0010,0,333,0,
1110;0010;1011;0111,0,723,0,
0100;0011;0001;0110,0,694,0,
0100;0000;0101;0001,0,1042,0,
1110;1011;0110;0011,0,723,0,
1000;1100;1101;1001,0,731,0,
1101;0111;0110;1100,0,650,0,
0000;1111;0001;1110,0,344,0,
1110;0001;0010;1101,0,367,0,
0110;0111;0100;0101,0,693,0,
0011;0111;0100;0000,0,1014,0,
0101;1111;0100;1110,0,355,0,
0000;0101;1101;1000,0,991,0,
1010;1001;1000;1011,0,753,0,
0010;1010;0101;1101,0,376,0,
1010;1000;0001;0011,0,710,0,
1101;0001;1000;0100,0,707,0,
0010;0101;1000;1111,0,343,0,
1110;1101;0000;0011,0,1042,0,
0100;0000;1111;1011,0,368,0,
1001;1110;0110;0001,0,342,0,
1011;0011;1000;0000,0,1088,0,
0010;0011;0101;0100,0,717,0,
0001;0110;1010;1101,0,781,0,
0101;0011;1101;1011,0,722,0,
1111;1110;0011;0010,0,337,0,
1110;1111;1100;1101,0,343,0,
0110;0111;0001;0000,0,1060,0,
0110;0000;1000;1110,0,1066,0,
1001;1000;0111;0110,0,345,0,
1001;0101;0100;1000,0,659,0,
1100;1110;0110;0100,0,724,0,
1111;1011;1100;1000,0,382,0,
0101;1110;1011;0000,0,1062,0,
0001;1000;1001;0000,0,1106,0,
0110;1011;0101;1000,0,697,0,
0011;1000;1111;0100,0,365,0,
0000;0111;0101;0010,0,1022,0,
1100;0101;1000;0001,0,713,0,
0001;1001;1010;0010,0,700,0,
0001;1000;0111;1110,0,366,0,
1101;0101;1110;0110,0,679,0,
0100;1010;1011;0101,0,345,0,
1111;0010;0111;1010,0,360,0,
1101;1000;0011;0110,0,715,0,
0100;1111;1101;0110,0,354,0,
1011;0001;1111;0101,0,327,0,
1011;0100;0111;1000,0,376,0,
0110;1010;1110;0010,0,714,0,
1100;1011;1001;1110,0,753,0,
0110;1001;1011;0100,0,368,0,
1111;1010;0001;0100,0,384,0,
1101;1100;0101;0100,0,729,0,
0011;0111;1111;1011,0,372,0,
1101;1011;0100;0010,0,340,0,
1000;1010;0110;0100,0,708,0,
1011;0010;1010;0011,0,729,0,
0001;0010;0000;0011,0,1107,0,
1001;0111;0011;1101,0,700,0,
0001;1111;0110;1000,0,340,0,
0000;1000;1010;0010,0,1082,0,
1000;1011;0001;0010,0,718,0,
1101;0000;0111;1010,0,1113,0,
1010;0000;1011;0001,0,1001,0,
1101;1111;0111;0101,0,295,0,
1000;1100;0111;0011,0,374,0,
1011;1001;0010;0000,0,1133,0,
1000;1110;1010;1100,0,745,0,
0111;0101;1010;1000,0,361,0,
1101;0011;1010;0100,0,723,0,
1001;1010;0100;0111,0,734,0,
1011;1110;1111;1010,0,349,0,
1111;1000;0000;0111,0,356,0,
1101;0001;0011;1111,0,345,0,
1110;0111;1101;0100,0,750,0,
0101;0110;0001;0010,0,711,0,
1110;0011;0100;1001,0,698,0,
1010;1110;0011;0111,0,674,0,
0001;1010;1110;0101,0,344,0,
0101;0001;1101;1001,0,729,0,
0111;1110;1111;0110,0,352,0,
1010;1100;0001;0111,0,716,0,

5,FALSE,TRUE,FALSE
1001;1100;0000;0101,841,805,205,
0110;0000;1111;1001,495,500,0,
1010;1100;1111;1001,469,439,109,
1010;0000;0011;1001,824,852,218,
1100;1010;0101;0011,497,489,165,
1111;0101;1100;0110,434,484,129,
0110;1100;0000;1010,832,800,213,
1001;0110;1100;0011,500,517,171,
0110;1001;0101;1010,458,449,137,
0011;0101;0110;0000,796,836,201,
0011;1100;0000;1111,476,475,0,
0101;1001;0011;1111,461,435,101,
1010;0101;1111;0000,458,502,0,
1010;1111;0011;0110,464,470,115,
1000;0010;0111;1101,0,491,0,
1011;1001;0001;0011,0,653,0,
1111;1101;0010;0000,0,476,0,
0011;1100;0010;1101,0,483,0,
1000;0100;1100;0000,0,825,0,
1001;0010;1101;0110,0,443,0,
0111;0100;1111;1100,0,498,0,
1011;1100;1010;1101,0,661,0,
1100;0010;0100;1010,0,646,0,
1001;1101;1011;1111,0,483,0,
1110;0101;0010;1001,0,674,0,
1110;0011;1100;0001,0,450,0,
0010;0110;1000;1100,0,625,0,
0010;1011;1111;0110,0,492,0,
1001;1110;1000;1111,0,459,0,
1101;1000;1011;1110,0,658,0,
0111;0110;0010;0011,0,667,0,
0100;1101;0000;1001,0,783,0,
1011;0100;1110;0001,0,467,0,
1011;0010;1100;0101,0,652,0,
0111;0000;1011;1100,0,828,0,
1000;0011;1001;0010,0,647,0,
1010;0111;1011;0110,0,613,0,
1110;1101;1001;1010,0,686,0,
0100;1010;0000;1110,0,808,0,
1111;0100;0010;1001,0,472,0,
1100;0110;1011;0001,0,647,0,
1111;1001;0001;0111,0,515,0,
1100;1001;0111;0010,0,651,0,
0001;1011;1101;0111,0,654,0,
0100;1000;1110;0010,0,658,0,
0001;0010;0111;0100,0,654,0,
1110;0011;1000;0101,0,616,0,
0111;0101;0011;0001,0,599,0,
1011;1001;0101;0111,0,646,0,
1100;0100;1001;0001,0,663,0,
1110;1100;0000;0010,0,798,0,
0111;1100;0101;1110,0,616,0,
1000;1101;1010;1111,0,527,0,
1011;1100;0011;0100,0,508,0,
0000;0110;1101;1011,0,790,0,
0000;0110;0010;0100,0,816,0,
0000;0001;1100;1101,0,794,0,
1001;1110;0111;0000,0,818,0,
0010;0001;1100;1111,0,477,0,
1011;0111;1110;0010,0,640,0,
0110;0001;0100;0011,0,660,0,
0001;0100;0101;0000,0,801,0,
0110;1011;1110;0011,0,667,0,
1101;1001;1100;1000,0,676,0,
1100;1101;0110;0111,0,662,0,
0001;1111;0000;1110,0,489,0,
1101;0010;1110;0001,0,491,0,
0101;0110;0100;0111,0,654,0,
0100;0011;0111;0000,0,822,0,
0101;1111;1110;0100,0,496,0,
1000;1101;0101;0000,0,787,0,
1011;1010;1001;1000,0,615,0,
0010;1010;0101;1101,0,505,0,
1000;1010;0001;0011,0,692,0,
1000;0001;1101;0100,0,631,0,
0101;1000;1111;0010,0,437,0,
1110;1101;0011;0000,0,812,0,
1011;0000;0100;1111,0,480,0,
1001;0110;0001;1110,0,485,0,
1000;1011;0011;0000,0,770,0,
0100;0101;0011;0010,0,629,0,
1010;0110;0001;1101,0,608,0,
1011;1101;0011;0101,0,652,0,
1111;0011;1110;0010,0,447,0,
1100;1110;1101;1111,0,492,0,
0000;0110;1000;1110,0,760,0,
0110;1001;0111;1000,0,437,0,
0001;0111;0110;0000,0,816,0,
1001;0100;1000;0101,0,654,0,
0100;1100;0110;1110,0,667,0,
1011;1111;1100;1000,0,518,0,
1110;1011;0101;0000,0,829,0,
0001;0000;1000;1001,0,816,0,
1000;1011;0110;0101,0,644,0,
0111;0010;0101;0000,0,781,0,
1111;0011;1000;0100,0,496,0,
1100;0001;1000;0101,0,646,0,
0001;1010;1001;0010,0,648,0,
0111;0001;1110;1000,0,456,0,
1010;0111;0010;1111,0,495,0,
0101;1110;0110;1101,0,629,0,
1010;1011;0100;0101,0,461,0,
1000;0110;1101;0011,0,622,0,
1101;0100;1111;0110,0,519,0,
1111;0101;0001;1011,0,495,0,
0100;1000;1011;0111,0,470,0,
1010;1110;0110;0010,0,617,0,
1001;0110;0100;1011,0,497,0,
1011;1110;1001;1100,0,640,0,
0100;0001;1010;1111,0,494,0,
1011;0011;0111;1111,0,469,0,
1100;0101;0100;1101,0,638,0,
0100;1101;1011;0010,0,487,0,
0100;1010;1000;0110,0,622,0,
1010;0011;1011;0010,0,682,0,
0001;0000;0011;0010,0,791,0,
0111;1101;1001;0011,0,682,0,
0001;0110;1000;1111,0,512,0,
1000;1010;0010;0000,0,782,0,
0001;1000;0010;1011,0,647,0,
0111;1101;0000;1010,0,821,0,
0001;1010;0000;1011,0,773,0,
0101;1101;0111;1111,0,513,0,
0111;0011;1000;1100,0,445,0,
1001;0010;0000;1011,0,788,0,
1000;1110;1010;1100,0,630,0,
0101;0111;1000;1010,0,494,0,
0100;1101;1010;0011,0,653,0,
1010;0111;1001;0100,0,658,0,
0111;1000;0000;1111,0,476,0,
1010;1110;1111;1011,0,455,0,
0011;1101;1111;0001,0,496,0,
1101;0111;0100;1110,0,685,0,
0101;0010;0110;0001,0,653,0,
0100;1110;1001;0011,0,619,0,
1110;1010;0111;0011,0,655,0,
1010;0001;0101;1110,0,469,0,
1101;0101;0001;1001,0,616,0,
1110;1111;0110;0111,0,475,0,
0001;1010;0111;1100,0,673,0,

6,FALSE,TRUE,FALSE
1111;1001;0000;0110,523,553,0,
1001;1100;0101;0000,709,716,189,
1100;1111;1001;1010,546,571,150,
1010;1001;0000;0011,681,688,183,
0101;1010;1100;0011,531,517,171,
0000;1100;1010;0110,675,661,162,
0101;1111;1100;0110,536,510,131,
1100;1001;0011;0110,573,530,188,
0101;1001;0110;1010,517,574,192,
0011;0000;0101;0110,708,708,200,
1111;1100;0000;0011,586,536,0,
0101;0011;1111;1001,511,502,139,
1010;0000;1111;0101,557,544,0,
1111;0110;1010;0011,529,539,146,
1101;1000;0010;0111,0,537,0,
0001;1011;1001;0011,0,603,0,
1101;0010;0000;1111,0,567,0,
0011;0010;1100;1101,0,543,0,
0010;1001;0110;1101,0,557,0,
1100;0000;0100;1000,0,634,0,
1111;0111;1100;0100,0,538,0,
1011;1100;1101;1010,0,606,0,
1010;1100;0010;0100,0,611,0,
1111;1001;1101;1011,0,542,0,
0010;0101;1110;1001,0,602,0,
0001;1110;0011;1100,0,547,0,
0110;1100;1000;0010,0,631,0,
0010;1011;0110;1111,0,514,0,
1110;1001;1000;1111,0,567,0,
1110;1011;1000;1101,0,627,0,
0010;0111;0011;0110,0,594,0,
1101;0000;0100;1001,0,649,0,
0001;1110;1011;0100,0,526,0,
0101;1011;1100;0010,0,589,0,
0000;1100;1011;0111,0,675,0,
0010;1000;1001;0011,0,597,0,
0111;1010;0110;1011,0,624,0,
1010;1001;1101;1110,0,628,0,
1111;0010;1001;0100,0,533,0,
1110;0000;1010;0100,0,696,0,
1011;0110;1100;0001,0,654,0,
1001;0001;0111;1111,0,537,0,
1001;0010;0111;1100,0,616,0,
0001;0111;1101;1011,0,617,0,
0100;1110;1000;0010,0,639,0,
0001;0010;0100;0111,0,625,0,
0101;1000;1110;0011,0,617,0,
0101;0111;0011;0001,0,620,0,
1001;1011;0101;0111,0,602,0,
1100;0001;1001;0100,0,595,0,
1110;1100;0000;0010,0,704,0,
0101;0111;1100;1110,0,596,0,
1101;1111;1000;1010,0,570,0,
1011;0011;0100;1100,0,553,0,
1011;0110;1101;0000,0,702,0,
0100;0000;0010;0110,0,701,0,
1001;0000;0111;1110,0,676,0,
1101;1100;0000;0001,0,712,0,
0001;0010;1111;1100,0,554,0,
0100;0110;0001;0011,0,593,0,
0010;0111;1110;1011,0,625,0,
0000;0101;0100;0001,0,670,0,
1011;1110;0110;0011,0,592,0,
1100;1001;1101;1000,0,546,0,
0111;0110;1100;1101,0,636,0,
0000;1111;0001;1110,0,550,0,
0001;1110;1101;0010,0,566,0,
0101;0100;0111;0110,0,572,0,
0011;0111;0100;0000,0,701,0,
1110;0100;1111;0101,0,551,0,
1000;0101;0000;1101,0,686,0,
1000;1001;1010;1011,0,630,0,
0010;1010;0101;1101,0,522,0,
1010;1000;0011;0001,0,611,0,
1101;0001;0100;1000,0,640,0,
1111;0101;0010;1000,0,521,0,
0011;1101;1110;0000,0,745,0,
1011;0100;0000;1111,0,497,0,
1001;1110;0110;0001,0,511,0,
1011;0000;1000;0011,0,707,0,
0010;0100;0011;0101,0,618,0,
1101;1010;0110;0001,0,605,0,
1011;0101;0011;1101,0,588,0,
0010;0011;1110;1111,0,569,0,
1000;0111;0110;1001,0,552,0,
0000;0110;0001;0111,0,743,0,
1110;1000;0000;0110,0,692,0,
1110;1111;1101;1100,0,545,0,
0100;1001;0101;1000,0,581,0,
0110;1100;1110;0100,0,594,0,
1111;1011;1100;1000,0,554,0,
0000;0101;1110;1011,0,747,0,
1000;0000;0001;1001,0,687,0,
1011;0101;1000;0110,0,628,0,
0000;0101;0111;0010,0,710,0,
1111;0011;1000;0100,0,548,0,
0101;1000;0001;1100,0,581,0,
0010;1001;1010;0001,0,598,0,
1000;0111;1110;0001,0,532,0,
0111;0010;1010;1111,0,498,0,
1110;1101;0110;0101,0,580,0,
1010;1011;0100;0101,0,530,0,
0011;1101;0110;1000,0,619,0,
0110;1101;0100;1111,0,540,0,
0101;1011;1111;0001,0,563,0,
1011;0111;0100;1000,0,535,0,
1010;1110;0110;0010,0,618,0,
0100;0110;1001;1011,0,584,0,
1001;1100;1011;1110,0,635,0,
0001;1010;1111;0100,0,535,0,
1101;1100;0100;0101,0,627,0,
0011;0111;1111;1011,0,495,0,
1101;1011;0100;0010,0,540,0,
0110;1010;0100;1000,0,597,0,
1010;0010;1011;0011,0,620,0,
0000;0010;0001;0011,0,634,0,
0110;0001;1000;1111,0,570,0,
1101;0011;0111;1001,0,585,0,
1010;1000;0010;0000,0,682,0,
0001;1000;1011;0010,0,626,0,
0111;1101;1010;0000,0,718,0,
0000;1011;0001;1010,0,751,0,
1101;0111;1111;0101,0,503,0,
1011;0000;1001;0010,0,686,0,
1100;1000;0011;0111,0,549,0,
1100;1110;1010;1000,0,648,0,
1000;0111;0101;1010,0,548,0,
1101;0011;1010;0100,0,603,0,
